copy,likes,comments
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 새로운 삶을 찾을 수 있을까?",856,48
"황금의 땅을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 영애 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작. 두 사람의 운명은 어떻게 될까?",107,64
"바다 건너 황금의 땅, 꿈의 신대륙을 향한 모험이 시작된다!",385,52
"바다 건너 황금의 땅, 꿈의 신대륙을 향한 모험이 시작된다!",419,15
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 새로운 삶을 찾을 수 있을까?",921,28
"""가난뱅이 영애, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!""",991,11
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 막대한 부를 손에 넣을 수 있을까?",703,45
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 두 사람의 운명은 어떻게 될까?",550,72
"황금의 땅을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마' 윈저 프레스턴! 과연 재클린은 무사히 가정교사 생활을 이어갈 수 있을까?",517,13
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",154,63
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀가 택한 일자리는 프레스턴 경의 저택의 가정교사! 하지만 그곳은 왕실과 후작가의 양육권 분쟁의 중심지였다. 과연 재클린은 무사히 가정교사 생활을 이어갈 수 있을까?",134,89
"바다 건너 황금의 땅, 꿈의 신대륙을 향한 모험이 시작된다!",672,59
"황금의 땅, 꿈의 대륙을 향한 모험! 가난뱅이 영애 재클린과 검은 함대의 악마 윈저의 운명적 만남!",324,76
"바다 건너 황금의 땅, 꿈의 신대륙을 향한 모험! 파산한 백작가의 영애 재클린과 검은 함대의 악마 윈저 프레스턴 후작의 운명적 만남!",263,3
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",384,21
"바다 건너 황금의 땅, 꿈의 신대륙을 향한 모험! 파산한 백작가의 영애 재클린과 검은 함대의 악마 윈저 프레스턴 후작의 운명적 만남!",163,47
"""꿈의 대륙을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!""",983,39
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?",830,93
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",875,32
"""가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!""",534,16
"""꿈의 대륙을 찾아 떠난 서머셋 백작의 딸, 재클린! 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴! 두 사람의 운명적인 만남이 시작된다!""",600,41
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 새로운 삶을 찾을 수 있을까?",358,45
"바다 건너 황금의 땅, 꿈의 신대륙을 향한 모험이 시작된다!",986,82
"'꿈의 대륙'을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",654,68
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 막대한 부를 손에 넣을 수 있을까?",906,28
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",169,5
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 몰락한 백작가의 영애에서 성공한 사업가로, 그녀의 파란만장한 일대기가 펼쳐진다!",982,26
"가난뱅이 영애, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마' 윈저 프레스턴! 과연 그들의 운명은 어떻게 될까?",278,70
"가난뱅이 영애 재클린, 황금의 땅을 찾아 나서다!",316,74
"바다 건너 황금의 땅, 꿈의 신대륙을 향한 모험이 시작된다!",868,69
"황금의 땅을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마' 윈저 프레스턴! 이 둘의 운명은 어떻게 될 것인가?",422,5
"황금의 땅을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 영애 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작. 두 사람의 운명은 어떻게 될 것인가?",248,48
"""가난뱅이 영애, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!""",472,49
"황금의 땅을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 과연 그녀는 새로운 삶을 찾을 수 있을 것인가?",953,34
"황금의 땅을 찾아 떠난 아버지, 그리고 몰락한 백작가의 영애 재클린. 그녀가 택한 마지막 희망은 프레스턴 후작가의 가정교사! 과연 재클린은 무사히 가정교사로 살아남을 수 있을까?",960,53
"황금의 땅을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마' 윈저 프레스턴 후작! 과연 재클린은 무사히 가정교사 일을 마치고 어머니를 모셔올 수 있을까?",405,68
"""꿈의 대륙을 찾아 나선 서머셋 백작의 딸, 재클린! 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴! 두 사람의 운명적인 만남이 시작된다!""",181,6
"황금의 땅, 꿈의 대륙을 향한 모험이 시작된다!",572,43
"가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!",707,7
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 과연 그녀는 새로운 삶을 찾을 수 있을까?",885,11
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?",729,12
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠난 아버지를 기다리며 빚쟁이들에게 쫓기다!",555,36
"'꿈의 대륙'을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",202,13
"황금의 땅을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마' 윈저 프레스턴! 두 사람의 운명적인 만남이 시작된다!",707,10
"바다 건너의 땅, 황금의 땅을 찾아 떠난 서머셋 백작의 딸 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?",801,43
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",948,47
"바다 건너의 땅은 미지의 세계였고, 막대한 부를 가져다줄 황금의 땅이었다. '꿈의 대륙'을 찾아 나선 탐험가들의 이야기, 지금 바로 시작됩니다!",132,57
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",766,8
"""가난뱅이 영애 재클린, 귀족가의 가정교사가 되다! 황금의 땅을 찾아 떠난 아버지를 대신해 생계를 책임지기 위해 고군분투하는 그녀의 이야기. 과연 재클린은 무사히 일자리를 구하고, 새로운 삶을 시작할 수 있을까?""",787,78
"가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!",703,49
"바다 건너 황금의 땅, 꿈의 신대륙을 향한 모험! 파산한 백작가의 영애, 재클린의 새로운 도전이 시작된다!",649,64
"황금의 땅을 찾아 나선 서머셋 백작의 딸, 재클린! 그녀의 앞에 나타난 '검은 함대의 악마' 윈저 프레스턴과의 운명적인 만남! 과연 재클린은 새로운 삶을 찾을 수 있을까?",520,27
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 막대한 부를 손에 넣고 행복해질 수 있을까?",501,51
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",694,73
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?",659,35
"""가난뱅이 영애, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!""",867,33
"황금의 땅을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 영애 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작. 두 사람의 운명은 어떻게 될까?",241,50
"""꿈의 대륙을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!""",731,15
"황금의 땅을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",961,26
"가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!",189,7
"""꿈의 대륙을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마' 윈저 프레스턴과의 운명적인 만남!""",779,64
"""가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!""",505,65
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 두 사람의 운명은 어떻게 이어질까?",796,97
"'꿈의 대륙'을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",582,39
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 새로운 삶을 찾을 수 있을까?",240,26
"가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!",728,89
"""꿈의 대륙을 찾아 나선 서머셋 백작 가의 몰락, 그리고 시작된 재클린의 새로운 삶. 황금의 땅에서 그녀는 무엇을 만나게 될까?""",325,95
"""꿈의 대륙을 찾아 떠난 서머셋 백작의 딸, 재클린! 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴! 두 사람의 운명적인 만남이 시작된다!""",930,64
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 로맨스와 스릴러가 결합된 이 웹소설을 지금 바로 만나보세요!",888,1
"황금의 땅을 찾아 나선 아버지의 실종, 그리고 파산한 백작가의 '가난뱅이 영애'가 된 재클린. 그녀가 향한 곳은 윈저 프레스턴 후작의 저택인데! 과연 재클린은 무사히 가정교사 일을 시작할 수 있을까?",319,42
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?",394,47
"가난뱅이 영애 재클린, 황금의 땅을 찾아 나서다!",482,37
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 무사히 신대륙에 도착해 막대한 부를 얻을 수 있을까?",144,18
"황금의 땅을 찾아 나선 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 두 사람의 운명은 어떻게 이어질까?",877,67
"가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!",802,31
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?",414,46
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀가 향한 곳은 윈저 프레스턴 후작의 저택! 과연 그녀는 이곳에서 새로운 삶을 찾을 수 있을까?",408,87
"황금의 땅, 꿈의 대륙을 향한 모험이 시작된다!",410,57
"바다 건너 황금의 땅, 꿈의 신대륙을 향한 모험! 파산한 백작가의 영애, 재클린의 새로운 삶이 시작된다!",907,72
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",304,82
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",224,26
"""가난뱅이 영애 재클린, 귀족가의 가정교사가 되다! 과연 그녀는 윈저 프레스턴의 마음을 사로잡을 수 있을까?""",116,30
"가난뱅이 영애 재클린, 귀족가의 도련님을 가르치다!",351,64
"황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 가난뱅이 영애 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남!",410,12
"황금의 땅을 찾아 나선 탐험가들의 이야기, 그 속에서 펼쳐지는 로맨스와 모험!",166,68
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴 후작! 과연 재클린은 프레스턴 후작가의 가정교사로 무사히 살아남을 수 있을까?",221,13
"황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 '가난뱅이 영애' 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남! 과연 재클린은 새로운 삶을 찾을 수 있을까?",422,16
"바다 건너 황금의 땅, 꿈의 신대륙을 찾아 나선 재클린의 모험이 시작된다!",983,49
"바다 건너 황금의 땅, 꿈의 신대륙을 향한 모험! 파산한 백작가의 영애 재클린과 검은 함대의 악마 윈저 프레스턴 후작의 운명적 만남!",724,11
"황금의 땅을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 과연 그녀는 새로운 삶을 찾을 수 있을 것인가?",333,27
"황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 '가난뱅이 영애' 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남!",173,48
"""가난뱅이 영애 재클린, 귀족가의 가정교사가 되다! 과연 그녀는 편견을 이겨내고 성공할 수 있을까?""",992,74
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 막대한 부를 손에 넣고 행복을 찾을 수 있을까?",496,49
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?",921,56
"황금의 땅, 꿈의 대륙을 향한 모험! 재클린과 윈저의 운명적 만남이 시작된다!",617,3
"가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!",717,12
"황금의 땅을 찾아 나선 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀가 귀족가의 망나니 도련님을 가르치기 위해 가정교사가 된다. 과연 그녀는 도련님을 바른길로 인도하고 자신의 삶도 바꿀 수 있을까?",781,4
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 막대한 부를 손에 넣을 수 있을까?",714,50
"황금의 땅을 찾아 나선 서머셋 백작의 딸, 재클린! 그녀의 앞에 나타난 '검은 함대의 악마' 윈저 프레스턴과의 운명적인 만남! 과연 재클린은 새로운 삶을 찾을 수 있을까?",640,80
"황금의 땅을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 두 사람의 운명은 어떻게 될까?",458,10
"황금의 땅, 꿈의 대륙을 향한 모험이 시작된다!",639,43
"'꿈의 대륙'을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",644,35
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",246,95
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",868,11
"'꿈의 대륙'을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",953,55
"가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!",729,8
"황금의 땅을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 영애 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작. 두 사람의 운명은 어떻게 될까?",839,20
"황금의 땅을 찾아 나선 아버지의 실종, 그리고 파산한 백작가의 딸 재클린. 그녀가 향한 곳은 윈저 프레스턴 후작의 저택?! 과연 그녀는 무사히 가정교사 생활을 시작할 수 있을까?",176,12
"""꿈의 대륙을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!""",732,47
"바다 건너 황금의 땅, 꿈의 신대륙을 향한 모험! 파산한 백작가의 영애 재클린과 검은 함대의 악마 윈저 프레스턴 후작의 운명적 만남!",809,67
"가난뱅이 영애, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴! 과연 이 둘의 운명은 어떻게 될 것인가?",374,48
"바다 건너 황금의 땅, 꿈의 신대륙을 향한 모험! 파산한 백작가의 영애 재클린과 검은 함대의 악마 윈저 프레스턴 후작의 운명적 만남!",298,79
"황금의 땅, 꿈의 대륙을 향한 모험! 몰락한 백작가의 영애, 재클린의 새로운 삶이 시작된다!",232,99
"가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!",575,91
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",682,12
"황금의 땅, 꿈의 대륙을 향한 모험이 시작된다!",981,3
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",662,87
"""가난뱅이 영애 재클린, 귀족가의 가정교사가 되다! 과연 그녀는 편견을 이겨내고 성공할 수 있을까?""",365,75
"바다 건너 황금의 땅, 꿈의 신대륙을 찾아 나선 모험가들의 이야기! 그 속에서 펼쳐지는 사랑과 배신, 복수와 성장의 대서사시! 지금 바로 만나보세요!",318,97
"가난뱅이 영애 재클린, 황금의 땅을 찾아 나서다!",460,65
"황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 '가난뱅이 영애' 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남! 과연 재클린은 새로운 삶을 찾을 수 있을까?",151,64
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠난 아버지를 기다리며 성장하는 이야기!",668,71
"가난뱅이 영애, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴! 과연 이 둘의 운명은 어떻게 될 것인가?",464,91
"가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!",166,46
"가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!",685,37
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",330,36
"""꿈의 대륙을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!""",900,45
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?",989,52
"가난뱅이 영애 재클린, 황금의 땅을 찾아 프레스턴 경의 저택으로 향하다!",590,70
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",855,15
"가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!",283,46
"황금의 땅을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마' 윈저 프레스턴 후작! 과연 재클린은 무사히 가정교사 일을 마치고 어머니를 모셔올 수 있을까?",792,13
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?",614,52
"바다 건너 황금의 땅, 꿈의 신대륙을 찾아 나선 모험가들의 이야기! 그 속에서 펼쳐지는 사랑과 우정, 그리고 배신. 과연 재클린은 무사히 프레스턴 경의 저택에 가정교사로 들어가 어머니를 모셔올 수 있을까?",573,23
"황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 '가난뱅이 영애' 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남! 과연 재클린은 새로운 삶을 찾을 수 있을 것인가?",425,20
"'꿈의 대륙'을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴 후작! 두 사람의 운명적인 만남이 시작된다!",786,90
"황금의 땅, 꿈의 대륙을 향한 모험! 재클린과 윈저의 운명적 만남이 시작된다!",876,86
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?",537,26
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",939,57
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",567,86
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 새로운 삶을 찾을 수 있을까?",212,24
"가난뱅이 영애 재클린, 황금의 땅을 찾아 나서다!",911,89
"가난뱅이 영애 재클린, 귀족가의 도련님을 가르치다!",493,75
"""가난뱅이 영애, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!""",619,45
"""가난뱅이 영애 재클린, 귀족가의 가정교사가 되다! 과연 그녀는 무사히 임무를 수행하고 사랑도 쟁취할 수 있을까?""",626,66
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",557,25
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 두 사람의 운명은 어떻게 이어질까?",505,19
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 새로운 삶을 찾을 수 있을까?",183,40
"가난뱅이 영애, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴! 과연 이들의 운명은 어떻게 될 것인가?",386,57
"황금의 땅을 찾아 떠난 아버지, 그리고 몰락한 백작가의 영애 재클린. 그녀가 찾은 일자리는 프레스턴 후작가의 가정교사! 과연 재클린은 무사히 가정교사 생활을 이어갈 수 있을까?",518,55
"""가난뱅이 영애 재클린, 귀족가의 가정교사가 되다! 과연 그녀는 무사히 임무를 수행하고 꿈에 그리던 어머니를 모셔올 수 있을까?""",147,40
"가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!",553,38
"가난뱅이 영애, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",370,49
